"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Email_Brand_Color__c.field-meta.xml",1,1,12,14,"Signature_Email_Brand_Color__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Email_Footer_Text__c.field-meta.xml",1,1,10,14,"Signature_Email_Footer_Text__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Email_Logo_Url__c.field-meta.xml",1,1,9,14,"Signature_Email_Logo_Url__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Email_Message__c.field-meta.xml",1,1,10,14,"Signature_Email_Message__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Email_Subject__c.field-meta.xml",1,1,12,14,"Signature_Email_Subject__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_OWA_Id__c.field-meta.xml",1,1,12,14,"Signature_OWA_Id__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Reminder_Enabled__c.field-meta.xml",1,1,8,14,"Signature_Reminder_Enabled__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Settings__c/fields/Signature_Reminder_Hours__c.field-meta.xml",1,1,12,14,"Signature_Reminder_Hours__c is a potential auth token in the object: DocGen_Settings__c with public visibility","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Document_Hash_SHA256__c.field-meta.xml",1,1,11,14,"Document_Hash_SHA256__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Signature_Request__c.field-meta.xml",1,1,12,14,"Signature_Request__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Signed_Date__c.field-meta.xml",1,1,8,14,"Signed_Date__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Signer_Email__c.field-meta.xml",1,1,11,14,"Signer_Email__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Signer_Name__c.field-meta.xml",1,1,12,14,"Signer_Name__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Audit__c/fields/Signer__c.field-meta.xml",1,1,13,14,"Signer__c is a potential auth token in a custom object: DocGen_Signature_Audit__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Placement__c/fields/Signature_Request__c.field-meta.xml",1,1,12,14,"Signature_Request__c is a potential auth token in a custom object: DocGen_Signature_Placement__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Placement__c/fields/Signed_At__c.field-meta.xml",1,1,8,14,"Signed_At__c is a potential auth token in a custom object: DocGen_Signature_Placement__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Placement__c/fields/Signed_Value__c.field-meta.xml",1,1,10,14,"Signed_Value__c is a potential auth token in a custom object: DocGen_Signature_Placement__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
